Test-Run,Lap number,Lap distance (m),Wheel_Circ,Chainring,Sprocket,Time (s),Distance (m),Left pedal crank angle (deg)
R04,4,40.03,2102.0,52.0,13.0,24.994999999999997,1043.205,153.765
R04,6,40.019999999999996,2102.0,52.0,13.0,66.955,1546.37,107.53999999999999
R04,8,39.965,2102.0,52.0,13.0,108.785,2051.35,137.265
R04,10,39.98,2102.0,52.0,13.0,150.76,2554.89,107.78
R04,12,40.010000000000005,2102.0,52.0,13.0,192.525,3058.35,74.63499999999999
R04,14,39.98,2102.0,52.0,13.0,233.91,3562.2,55.59
R04,16,39.980000000000004,2102.0,52.0,13.0,275.555,4064.3,322.195
R04,18,39.985,2102.0,52.0,14.0,318.445,4568.92,222.605
R04,20,39.97,2102.0,52.0,13.0,360.545,5070.969999999999,99.41
Grd-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.97895822932034
Air-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,12.10948244300237
Grd-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.980906556829273
Air-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,12.105833934283972
Crk-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.972188697528123
